,datePublished,review_title,text_content,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
0,22nd May 2023,irresponsible airline,Not Verified ," The worst and irresponsible airline I have ever seen or had. My friend and I had a ticket of Air India from Vancouver to Delhi on May 21st. The flight had delay for 14 hours and finally they canceled that. They don't care about people, infants and elderly people at all. A very irresponsible and unorganized airline. I don't suggest this airline to anyone.",Air India,Business,Economy Class,Vancouver to Delhi,May-23,1,1,1,1,1,1,1,no
1,22nd May 2023,Pathetic experience,Trip Verified ," Pathetic experience as the seats were not clean, no screens were working in the row E, the food was not tasty, half of the cuisine was made with corns only. Only crew at the back rows were very polite and decent, two female and one male member very nice. Very uncomfortable seats. The experience at the ground level was also pathetic as the ground staff was asking unnecessary questions which were not relevant at all. When one person has a visa of the country he or she is travelling to then even they were asking irrelevant questions as in where is the invitation letter, how many days is the stay for thought already shown the return ticket. Invitation letter is to be asked by the immigration dept not with the airline travelling with. Then after check in and immigration when finally entering in the aircraft again the person is asking where is the invite - what makes sense out of it, don't understand. It is just to unnecessarily harassing the passengers. I think we all are educated and we know the rules and regulations to be followed while travelling then why unnecessary harassment. Air India needs to improve a lot on their quality.",NA,Solo Leisure,Economy Class,New Delhi to Toronto via Frankfurt,May-23,1,3,2,1,1,1,1,no
2,22nd May 2023,Seats are not at all hygienic,Trip Verified ,  I am really disappointed with international travel with Air India from London Heathrow to Delhi. there is no any improvement in flight comfort. Every time their video display are not working and very rarely its starts all of sudden and again stop working in between. No provision of headphones. Seats are not at all hygienic and not kept clean. Restrooms cleanliness not maintained its too unhygienic.,NA,Solo Leisure,Economy Class,London to Delhi,Apr-23,1,4,4,1,3,1,1,no
3,22nd May 2023,No Inflight Entertainment,Not Verified ,"  No Inflight Entertainment. When I asked the staff regarding this they clearly said that the airline knew about this and they have taken the aircraft from the Hangar and deployed it. The journey was 12 hours and with no in flight entertainment, it was a nightmare. The return journey from Delhi to Melbourne was the same if not worse. No7 Inflight entertainment again, No reclining seats. With my ticket purchase I paid to have the In flight entertainment as a part of what this airline advertised. This is False advertising",NA,Couple Leisure,Economy Class,Melbourne to Mumbai,May-23,1,3,3,1,3,1,1,no
4,8th May 2023,disappointed that I never got to fly,Trip Verified ,  Boarding was on time took my seat and relaxed with a glass of champagne. Announcement was made we have a tech issue and power was turned off. After approx 20min had to deboard then after 5hrs waiting in the gate lounge they announced that the flight was cancelled. Another hour waiting I was finally rebooked onto Emirates and sent to a hotel for a few hours (all played for by IA). So disappointed that I never got to fly.,Boeing 787-8,Solo Leisure,Business Class,Singapore to Dubai via Delhi,May-23,4,5,1,NA,5,NA,5,yes
5,7th May 2023,the flight was so horrible,Trip Verified ,"  Delhi to San Francisco and the flight was so horrible. First time I was traveling by Air India and I will not recommend anyone to travel by Air India. The seat is so tight space (not comfortable), the entertainment system was broke down in the entire flight (almost 17hrs non stop journey). I ordered Muslim food when I booked the ticket but on the plane during my journey I was not given the Muslim/halal food. The food I was given was not eatable.  I will never travel by Air India and not recommend anyone to travel also by AI.",Boeing 777,Solo Leisure,Economy Class,Delhi to San Francisco,May-23,1,1,1,1,1,1,1,no
6,5th May 2023,Such a bad experience,Not Verified ,My flight was scheduled rom Amritsar to Delhi and from Delhi to New York. The flight was delayed to the point that  every passenger missed their connecting flights. On top of this i had another flight from New York to Vancouver the next day which I missed and had a book a new flight for 400$. I talked to the airline staff and they said that the flight to Vancouver is not with their airline so they couldn't provide me any compensation. They didn't even care to look for any other flights from Amritsar to Delhi to help the passengers catch their connecting flights. Such a bad experience that I'll never travel with this airline in future no matter what. e.,NA,Solo Leisure,Economy Class,Amritsar to New York via Delhi,May-23,1,1,1,1,1,1,1,no
7,4th May 2023,Absolutely primitive aircraft,Trip Verified ,"  Absolutely primitive aircraft, None of the on-Board Audio systems work. You've to look at the sky or blank screen to spend time. Crew and their services were good, helpful. However, they can't fix everything on broken Aircrafts. Ticket prices are not any way cheaper than competitors flying to Kolkata. Except the Middle Seats in the Economy sections, one has to pay to get windows or aisle seats. It's not cheap, costs CAD 61.90. The aircraft quality must improve.",Boeing 777-300,Solo Leisure,Economy Class,Toronto to Delhi,May-23,1,4,4,1,4,1,2,no
8,4th May 2023,food was top class,Trip Verified ,"  First time I am flying Air India after take over by Tata. There was a noticeable change in counter service at both Chennai and Bengaluru. Cabin crew in the flight were warm and food was top class. Area where attention is required is toilet upkeep during the flight, and the seat comfort",NA,Solo Leisure,Economy Class,Chennai to San Fransisco via Bengaluru,May-23,5,5,5,4,5,NA,5,yes
9,3rd May 2023,better than the last time I flew,Trip Verified ,"  The service on this flight was better than the last time I flew. Usually the staff are really rude, but on this flight it was alright especially Mohammed in the cabin was good. This time the tv was working unlike most of the times it's not working. For a 9hr flight it's really boring",NA,Family Leisure,Economy Class,London to Mumbai,Apr-23,5,4,2,4,4,1,4,yes
